ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms,cached_branch_taken
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,miss,380.6,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,70.9,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,84.0,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,70.9,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,74.4,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,67.0,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,68.9,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,77.2,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,72.8,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,178.2,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,82.3,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,67.0,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,85.7,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,66.9,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,83.5,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,121.2,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,74.2,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,72.0,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,71.8,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,72.9,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,65.5,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,75.8,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,66.7,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,68.5,portfolio
PORTFOLIO,2026-04-13T22:53:11.410445+00:00,1,fixed_ttl,"REBALANCE:AAPL,GOOG","REBALANCE:AAPL,GOOG",True,portfolio,hit,73.6,portfolio
