ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss
AAPL,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss
GOOG,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,HOLD,HOLD,True,trend,miss
TSLA,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:19:29.601410+00:00,85,fixed_ttl,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit
GOOG,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,trend,hit
TSLA,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,BUY,BUY,True,trend,hit
NVDA,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,BUY,BUY,True,trend,hit
META,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,HOLD,HOLD,True,trend,hit
COIN,2026-04-06T15:19:49.601410+00:00,86,fixed_ttl,BUY,BUY,True,trend,hit
MARA,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,BUY,BUY,True,trend,hit
HUT,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,BUY,BUY,True,trend,hit
RIOT,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,HOLD,HOLD,True,trend,hit
IREN,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss
GOOG,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,HOLD,HOLD,True,trend,miss
TSLA,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:20:09.601410+00:00,87,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,SELL,SELL,True,news_sentiment,hit
GOOG,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,HOLD,HOLD,True,trend,hit
TSLA,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:20:29.601410+00:00,88,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,SELL,SELL,True,news_sentiment,miss
GOOG,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,HOLD,HOLD,True,trend,miss
TSLA,2026-04-06T15:20:49.601410+00:00,89,fixed_ttl,BUY,BUY,True,trend,hit
NVDA,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,BUY,BUY,True,trend,hit
META,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,HOLD,HOLD,True,trend,hit
COIN,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,HOLD,HOLD,True,trend,hit
SOUN,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,BUY,BUY,True,trend,hit
RIOT,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,HOLD,HOLD,True,trend,hit
IREN,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,HOLD,HOLD,True,trend,hit
AAPL,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,SELL,SELL,True,news_sentiment,miss
TSLA,2026-04-06T15:21:09.601410+00:00,90,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,BUY,BUY,True,trend,hit
HUT,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,SELL,SELL,True,news_sentiment,hit
GOOG,2026-04-06T15:21:29.601410+00:00,91,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:21:49.601410+00:00,92,fixed_ttl,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:22:09.601410+00:00,93,fixed_ttl,SELL,SELL,True,news_sentiment,miss
TSLA,2026-04-06T15:22:09.601410+00:00,93,fixed_ttl,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:22:09.601410+00:00,93,fixed_ttl,BUY,BUY,True,trend,miss
META,2026-04-06T15:22:09.601410+00:00,93,fixed_ttl,HOLD,HOLD,True,trend,miss
