ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms,cached_branch_taken
GOOG,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,221.2,trend
NVDA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,284.0,trend
COIN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,259.0,trend
MARA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,180.0,trend
SOUN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,247.4,trend
RIOT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,264.4,trend
IREN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,trend,miss,230.4,trend
AAPL,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,news_sentiment,hit,110.1,news_sentiment
GOOG,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,59.2,trend
TSLA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,264.7,trend
NVDA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,71.9,trend
META,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,267.1,trend
COIN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,52.6,trend
MARA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,82.9,trend
HUT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,50.5,trend
SOUN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,52.2,trend
RIOT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,59.2,trend
IREN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,trend,hit,80.9,trend
AAPL,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,news_sentiment,hit,58.9,news_sentiment
GOOG,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,75.4,trend
TSLA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,67.9,trend
NVDA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,53.1,trend
META,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,93.2,trend
HUT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,57.9,trend
SOUN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,61.8,trend
RIOT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,68.4,trend
IREN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,trend,hit,64.4,trend
AAPL,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,SELL,SELL,True,news_sentiment,hit,40.9,news_sentiment
GOOG,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,62.2,trend
TSLA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,85.6,trend
NVDA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,73.7,trend
META,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,60.3,trend
COIN,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,66.5,trend
MARA,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,BUY,BUY,True,trend,hit,67.8,trend
HUT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,61.1,trend
RIOT,2026-04-08T02:24:33.437298+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,hit,50.1,trend
IREN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,SELL,False,trend,hit,58.5,trend
AAPL,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,news_sentiment,hit,43.3,news_sentiment
GOOG,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,62.1,trend
TSLA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,58.1,trend
NVDA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,52.0,trend
META,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,54.5,trend
COIN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,65.4,trend
MARA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,70.4,trend
HUT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,57.4,trend
SOUN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,86.1,trend
RIOT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,HOLD,False,trend,hit,63.1,trend
IREN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,SELL,False,trend,hit,64.8,trend
AAPL,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,news_sentiment,miss,117.8,news_sentiment
GOOG,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,miss,174.4,trend
TSLA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,60.6,trend
NVDA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,157.5,trend
META,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,54.7,trend
COIN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,155.2,trend
MARA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,miss,155.4,trend
HUT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,147.1,trend
SOUN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,183.9,trend
RIOT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,trend,miss,177.5,trend
AAPL,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,news_sentiment,hit,67.7,news_sentiment
GOOG,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,64.1,trend
NVDA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,61.2,trend
META,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,miss,131.5,trend
COIN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,117.6,trend
MARA,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,74.4,trend
HUT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,65.5,trend
SOUN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,52.6,trend
RIOT,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,trend,hit,59.3,trend
IREN,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,158.9,trend
AAPL,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,SELL,SELL,True,news_sentiment,hit,44.6,news_sentiment
GOOG,2026-04-08T02:24:53.437298+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,75.2,trend
