ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,news_sentiment,miss,230.0
GOOG,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,271.1
TSLA,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,214.5
NVDA,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,243.7
META,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,302.1
COIN,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,259.5
MARA,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,193.0
HUT,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,208.0
SOUN,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,HOLD,HOLD,True,trend,miss,226.1
RIOT,2026-04-07T23:01:17.464437+00:00,1,fixed_ttl,BUY,BUY,True,trend,miss,217.4
IREN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,miss,268.8
AAPL,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,92.8
GOOG,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,68.0
TSLA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,90.1
NVDA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,81.0
META,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,115.2
COIN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,119.8
MARA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,103.7
HUT,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,69.7
SOUN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,61.8
RIOT,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,BUY,False,trend,hit,72.9
IREN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,74.3
AAPL,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,news_sentiment,hit,50.7
GOOG,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,72.0
TSLA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,72.2
NVDA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,BUY,BUY,True,trend,hit,107.3
META,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,137.4
COIN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,141.1
MARA,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,63.2
HUT,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,139.2
SOUN,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,HOLD,True,trend,hit,61.2
RIOT,2026-04-07T23:01:37.464437+00:00,2,fixed_ttl,HOLD,BUY,False,trend,hit,143.2
