ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,news_sentiment,bypass,229.1
GOOG,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,224.8
TSLA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,244.8
NVDA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,230.2
META,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,249.8
COIN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,217.1
MARA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,248.3
HUT,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,283.9
SOUN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,361.4
RIOT,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,243.9
IREN,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,262.3
GOOG,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,242.3
TSLA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,288.5
NVDA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,248.7
META,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,237.1
COIN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,212.9
MARA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,228.6
HUT,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,218.8
SOUN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,270.8
RIOT,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,262.3
IREN,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,277.1
AAPL,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,news_sentiment,bypass,197.9
GOOG,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,229.2
TSLA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,185.6
NVDA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,258.0
META,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,221.7
COIN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,262.9
MARA,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,1839.8
HUT,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,320.0
SOUN,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,trend,bypass,428.7
IREN,2026-04-07T23:43:03.433081+00:00,1,none,BUY,BUY,True,trend,bypass,266.7
AAPL,2026-04-07T23:43:03.433081+00:00,1,none,HOLD,HOLD,True,news_sentiment,bypass,238.4
GOOG,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,333.4
TSLA,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,257.5
NVDA,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,317.3
META,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,395.3
COIN,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,319.5
MARA,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,321.6
HUT,2026-04-07T23:43:23.433081+00:00,2,none,BUY,BUY,True,trend,bypass,270.4
SOUN,2026-04-07T23:43:23.433081+00:00,2,none,SELL,SELL,True,trend,bypass,207.6
RIOT,2026-04-07T23:43:23.433081+00:00,2,none,BUY,BUY,True,trend,bypass,293.1
IREN,2026-04-07T23:43:23.433081+00:00,2,none,BUY,BUY,True,trend,bypass,234.6
AAPL,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,news_sentiment,bypass,180.4
GOOG,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,192.8
NVDA,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,145.0
META,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,244.8
COIN,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,202.7
MARA,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,214.2
SOUN,2026-04-07T23:43:23.433081+00:00,2,none,SELL,SELL,True,trend,bypass,198.1
RIOT,2026-04-07T23:43:23.433081+00:00,2,none,BUY,BUY,True,trend,bypass,199.6
IREN,2026-04-07T23:43:23.433081+00:00,2,none,BUY,BUY,True,trend,bypass,214.5
AAPL,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,news_sentiment,bypass,199.7
GOOG,2026-04-07T23:43:23.433081+00:00,2,none,HOLD,HOLD,True,trend,bypass,240.4
