ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms,cached_branch_taken
AAPL,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,news_sentiment,bypass,273.5,news_sentiment
GOOG,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,348.1,trend
TSLA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,297.2,trend
NVDA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,260.8,trend
COIN,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,383.1,trend
MARA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,342.6,trend
HUT,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,377.6,trend
SOUN,2026-04-08T01:04:29.403549+00:00,1,none,SELL,SELL,True,trend,bypass,276.0,trend
RIOT,2026-04-08T01:04:29.403549+00:00,1,none,BUY,BUY,True,trend,bypass,220.7,trend
IREN,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,221.2,trend
GOOG,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,196.8,trend
TSLA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,186.6,trend
NVDA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,201.6,trend
META,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,193.6,trend
COIN,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,252.2,trend
MARA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,182.2,trend
HUT,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,233.6,trend
SOUN,2026-04-08T01:04:29.403549+00:00,1,none,SELL,SELL,True,trend,bypass,274.5,trend
RIOT,2026-04-08T01:04:29.403549+00:00,1,none,BUY,BUY,True,trend,bypass,271.9,trend
IREN,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,226.6,trend
GOOG,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,254.3,trend
TSLA,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,285.7,trend
META,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,192.5,trend
COIN,2026-04-08T01:04:29.403549+00:00,1,none,HOLD,HOLD,True,trend,bypass,270.9,trend
