ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss
AAPL,2026-04-07T21:16:54.203927+00:00,2,none,SELL,SELL,True,news_sentiment,bypass
GOOG,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
TSLA,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
NVDA,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
META,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
COIN,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
MARA,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
HUT,2026-04-07T21:16:54.203927+00:00,2,none,BUY,BUY,True,trend,bypass
SOUN,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
RIOT,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
IREN,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
GOOG,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
TSLA,2026-04-07T21:16:54.203927+00:00,2,none,HOLD,HOLD,True,trend,bypass
NVDA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
META,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
COIN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
MARA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
SOUN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
RIOT,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
IREN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
AAPL,2026-04-07T21:17:14.203927+00:00,3,none,SELL,SELL,True,news_sentiment,bypass
GOOG,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
NVDA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
META,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
COIN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
MARA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
HUT,2026-04-07T21:17:14.203927+00:00,3,none,BUY,BUY,True,trend,bypass
SOUN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
RIOT,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
IREN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
AAPL,2026-04-07T21:17:14.203927+00:00,3,none,SELL,SELL,True,news_sentiment,bypass
GOOG,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
TSLA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
NVDA,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
META,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
COIN,2026-04-07T21:17:14.203927+00:00,3,none,HOLD,HOLD,True,trend,bypass
