ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
GOOG,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,228.2
NVDA,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,227.3
META,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,238.5
MARA,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,280.5
HUT,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,213.0
SOUN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,231.7
RIOT,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,202.8
IREN,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,237.0
AAPL,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,news_sentiment,bypass,285.7
GOOG,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,263.5
TSLA,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,292.1
NVDA,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,252.0
META,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,239.3
COIN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,250.4
MARA,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,320.2
HUT,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,249.0
SOUN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,266.7
RIOT,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,224.7
IREN,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,218.1
AAPL,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,news_sentiment,bypass,227.8
GOOG,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,244.5
TSLA,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,260.4
NVDA,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,273.9
META,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,223.8
COIN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,262.9
MARA,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,212.2
HUT,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,177.0
SOUN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,189.5
RIOT,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,234.8
IREN,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,239.3
AAPL,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,news_sentiment,bypass,231.1
GOOG,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,237.7
NVDA,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,205.9
META,2026-04-07T22:04:43.866467+00:00,2,none,BUY,BUY,True,trend,bypass,187.8
COIN,2026-04-07T22:04:43.866467+00:00,2,none,HOLD,HOLD,True,trend,bypass,275.2
