ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,214.4
GOOG,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,199.8
TSLA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,203.8
NVDA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,352.4
META,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,327.1
COIN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,182.2
MARA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,216.6
HUT,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,193.2
SOUN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,236.0
RIOT,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,233.3
AAPL,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,39.7
GOOG,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,51.6
META,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,52.5
COIN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,58.0
MARA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,48.2
HUT,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,hit,43.3
SOUN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,51.1
RIOT,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,hit,55.0
IREN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,hit,131.7
GOOG,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,124.9
TSLA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,192.0
NVDA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,121.0
META,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,164.1
COIN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,128.0
MARA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,153.7
RIOT,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,129.2
IREN,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,113.7
AAPL,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,40.1
GOOG,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,51.8
TSLA,2026-04-08T00:06:29.169608+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,56.5
