ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms,cached_branch_taken
AAPL,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,239.9,news_sentiment
GOOG,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,212.6,trend
TSLA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,260.0,trend
NVDA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,285.7,trend
META,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,270.1,trend
COIN,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,231.3,trend
MARA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,302.3,trend
HUT,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,309.0,trend
RIOT,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,251.9,trend
IREN,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,208.4,trend
AAPL,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,124.8,news_sentiment
GOOG,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,79.3,trend
TSLA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,77.2,trend
NVDA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,53.6,trend
META,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,61.1,trend
COIN,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,46.0,trend
MARA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,51.4,trend
HUT,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,53.6,trend
SOUN,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,SELL,SELL,True,trend,hit,111.2,trend
RIOT,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,BUY,BUY,True,trend,hit,67.4,trend
AAPL,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,112.5,news_sentiment
TSLA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,106.3,trend
NVDA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,127.1,trend
META,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,129.2,trend
COIN,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,115.6,trend
MARA,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,167.4,trend
HUT,2026-04-08T01:34:50.747343+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,153.0,trend
