ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms,cached_branch_taken
AAPL,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,242.5,news_sentiment
GOOG,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,170.4,trend
TSLA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,247.7,trend
NVDA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,225.7,trend
META,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,280.6,trend
COIN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,221.8,trend
MARA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,324.0,trend
HUT,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,227.5,trend
SOUN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,264.8,trend
RIOT,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,227.4,trend
IREN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,211.8,trend
AAPL,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,48.1,news_sentiment
GOOG,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,53.2,trend
TSLA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,45.9,trend
NVDA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,53.7,trend
META,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,BUY,BUY,True,trend,hit,57.4,trend
MARA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,43.4,trend
HUT,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,47.8,trend
SOUN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,44.1,trend
IREN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,hit,51.7,trend
AAPL,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,93.8,news_sentiment
GOOG,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,102.0,trend
TSLA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,127.5,trend
NVDA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,114.3,trend
META,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,87.0,trend
COIN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,105.4,trend
MARA,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,214.8,trend
HUT,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,201.9,trend
SOUN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,198.2,trend
RIOT,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,BUY,BUY,True,trend,miss,201.3,trend
IREN,2026-04-08T02:39:11.673425+00:00,1,workflow_aware,HOLD,HOLD,True,trend,miss,190.0,trend
