ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss,cached_latency_ms
AAPL,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,250.9
GOOG,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,miss,212.4
TSLA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,miss,197.2
NVDA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,SELL,SELL,True,news_sentiment,miss,261.1
META,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,236.6
COIN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,244.1
MARA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,238.0
HUT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,222.3
SOUN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,200.9
RIOT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,193.4
IREN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,248.8
GOOG,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,hit,41.4
TSLA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,hit,56.1
NVDA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,SELL,SELL,True,news_sentiment,hit,67.2
META,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,62.3
COIN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,59.0
MARA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,66.6
HUT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,58.7
SOUN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,60.6
RIOT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,57.7
IREN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,55.6
AAPL,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,news_sentiment,miss,126.9
GOOG,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,miss,148.3
TSLA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,miss,160.4
NVDA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,SELL,SELL,True,news_sentiment,miss,186.0
META,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,153.8
COIN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,117.3
MARA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,152.4
HUT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,131.5
SOUN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,162.0
RIOT,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,139.3
IREN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,miss,155.4
AAPL,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,news_sentiment,hit,40.1
GOOG,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,HOLD,HOLD,True,trend,hit,65.3
NVDA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,SELL,SELL,True,news_sentiment,hit,41.5
META,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,44.6
COIN,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,100.1
MARA,2026-04-07T22:25:43.866467+00:00,65,workflow_aware,BUY,BUY,True,trend,hit,39.8
