ticker,simulated_time,interval_index,caching_policy,fresh_decision,cached_decision,matched,branch_taken,hit_or_miss
AAPL,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:43:29.601410+00:00,157,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,BUY,BUY,True,trend,miss
COIN,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,HOLD,HOLD,True,trend,miss
RIOT,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:43:49.601410+00:00,158,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:44:09.601410+00:00,159,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,HOLD,HOLD,True,trend,miss
MARA,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:44:29.601410+00:00,160,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:44:49.601410+00:00,161,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:45:09.601410+00:00,162,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,HOLD,HOLD,True,trend,miss
GOOG,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,BUY,BUY,True,trend,miss
TSLA,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,BUY,BUY,True,trend,miss
NVDA,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,BUY,BUY,True,trend,miss
META,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,HOLD,HOLD,True,trend,miss
COIN,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,BUY,BUY,True,trend,miss
MARA,2026-04-06T15:45:29.601410+00:00,163,workflow_aware,BUY,BUY,True,trend,miss
HUT,2026-04-06T15:45:49.601410+00:00,164,workflow_aware,HOLD,HOLD,True,trend,miss
SOUN,2026-04-06T15:45:49.601410+00:00,164,workflow_aware,BUY,BUY,True,trend,miss
RIOT,2026-04-06T15:45:49.601410+00:00,164,workflow_aware,HOLD,HOLD,True,trend,miss
IREN,2026-04-06T15:45:49.601410+00:00,164,workflow_aware,HOLD,HOLD,True,trend,miss
AAPL,2026-04-06T15:45:49.601410+00:00,164,workflow_aware,HOLD,HOLD,True,trend,miss
